influencer_name,platform,followers,engagement_rate,likes,comments,campaign_cost,roi,predicted_roi
PriyaVibes,Tiktok,3330000.0,2922100.281711712,29221.0,0.0,82056.5,349319300.0,349319300.0
SnehaDance.xo,Instagram,3881107.0,10862200.374197362,108622.0,0.0,29328.0,-100.0,-100.0
RohanFitness,YouTube,2130000.0,7205100.215915493,68518.0,3533.0,82056.5,126074400.0,126074400.0
MeeraBeautyDanceee,Facebook,2280000.0,12654100.297982456,121286.0,5255.0,82056.5,184598800.0,184598800.0
SnehaDance_official,YouTube,1854000.0,7661400.760949299,71653.0,4961.0,45712.0,125081200.0,125081200.0
GamerVikram.xo,YouTube,1966164.0,4560100.222463639,45133.0,468.0,10248.0,68099600.0,68099600.0
NehaFoodie ,Instagram,1338074.0,2134300.05986216,20469.0,874.0,82056.5,134413500.0,134413500.0
PoojaLifestyleDanceee,YouTube,1910000.0,3520100.0,30553.0,4648.0,47437.0,236948900.0,236948900.0
SnehaDance,Facebook,1558000.0,3901900.186456996,38038.0,981.0,90352.0,-100.0,-100.0
ANANYAVLOGSINSTA ,Instagram,3901537.0,12091400.198588405,117953.0,2961.0,82056.5,403376600.0,403376600.0
RajTravelDanceee,Instagram,0.0,inf,47936.0,0.0,285159.0,-100.0,-100.0
VikramTech_official,Facebook,3800581.0,10544800.175210051,101545.0,3903.0,174884.0,383758300.0,383758300.0
RahulGamerQueen,YouTube,3832134.0,9940700.0,98654.0,753.0,82056.5,75070700.0,75070700.0
KabirTechVlogs,YouTube,4497498.0,10340700.01449695,101074.0,2333.0,82056.5,194136800.0,194136800.0
NEHAFOODIEVLOGS ,Instagram,4915000.0,4588200.222624619,45450.0,432.0,325874.0,-100.0,-100.0
SnehaDanceFitness,Facebook,1165070.0,4024800.509153956,35855.0,4393.0,272965.0,243837400.0,243837400.0
KaranFitnessDanceee,Linkedin,715526.0,10770701.888820251,107707.0,0.0,79438.0,-100.0,-100.0
GamerVikram,YouTube,2767000.0,6094600.238344777,54724.0,6222.0,82056.5,-100.0,-100.0
SaraTravelDiariesInsta,Facebook,0.0,inf,0.0,6160.0,290836.0,-100.0,-100.0
NEHAFOODIEDANCEEE ,YouTube,2410000.0,5026600.20493776,48719.0,1547.0,82056.5,268389000.0,268389000.0
NehaFoodieQueen,Instagram,600000.0,1099002.0720000002,10990.0,0.0,163308.0,-100.0,-100.0
FitAnkitVlogs,Linkedin,2891686.0,3441200.0,30908.0,3504.0,82056.5,251106900.0,251106900.0
NehaFoodie ,YouTube,1487480.0,1507300.132237072,12657.0,2416.0,155787.0,-100.0,-100.0
MeeraBeauty_official,Tiktok,0.0,inf,15142.0,0.0,321436.0,47747000.0,47747000.0
RiyaMakeupVlogs,YouTube,694527.0,0.672544047963578,0.0,0.0,127048.0,301498800.0,301498800.0
TechBitArvindDanceee,YouTube,1137530.0,12131101.449544188,115834.0,5477.0,118581.0,222927300.0,222927300.0
KABIRTECH_OFFICIAL ,Instagram,1638000.0,9352200.64004884,93274.0,248.0,307800.0,130811500.0,130811500.0
SNEHADANCEFITNESS ,YouTube,0.0,inf,119589.0,2933.0,112744.0,427807300.0,427807300.0
ArjunVlogs.xo,Facebook,4029000.0,4332700.0,37586.0,5741.0,15469.0,-100.0,-100.0
KaranFitness_official,Tiktok,372761.0,3673300.471079324,35171.0,1562.0,308215.0,42004000.0,42004000.0
MeeraBeautyInsta,TikTok,432000.0,3790403.5321759256,32736.0,5168.0,57348.0,443968500.0,443968500.0
RituFood07,TikTok,2207000.0,6433700.69646579,63419.0,918.0,223254.0,-100.0,-100.0
PriyaVibesFitness,Tiktok,0.0,inf,82762.0,0.0,16817.0,-100.0,-100.0
TanyaDance_official,Facebook,0.0,inf,0.0,842.0,82056.5,283304300.0,283304300.0
ANANYAVLOGSFITNESS ,Instagram,0.0,inf,0.0,5870.0,327081.0,-100.0,-100.0
POOJALIFESTYLEFITNESS ,YouTube,2840000.0,3887200.591126761,38872.0,0.0,261117.0,223658500.0,223658500.0
VikramTechInsta,Facebook,2990000.0,864800.0719732441,3165.0,5483.0,185237.0,402661300.0,402661300.0
RiyaMakeupDanceee,YouTube,0.0,inf,44367.0,5547.0,50302.0,-100.0,-100.0
GamerVikramVlogs,Facebook,3840000.0,11422300.342343751,108904.0,5319.0,82056.5,-100.0,-100.0
KabirTech,Facebook,3540000.0,486500.4096892656,2729.0,2136.0,117222.0,419208200.0,419208200.0
TanyaDanceInsta,Instagram,5080000.0,5063100.205669291,49157.0,1474.0,82056.5,63507300.0,63507300.0
TechBitArvind.xo,Facebook,0.0,inf,57664.0,0.0,110087.0,-100.0,-100.0
TechBitArvindDanceee,Instagram,0.0,inf,31850.0,3499.0,130307.0,-100.0,-100.0
AmitCricket_official,Facebook,4748981.0,9554600.207560316,91493.0,4053.0,82056.5,67434200.0,67434200.0
FitAnkit,Youtube,0.0,inf,20440.0,3676.0,82056.5,-100.0,-100.0
MansiBeautyQueen,Facebook,3322000.0,5120600.295334136,45202.0,6004.0,177752.0,323767600.0,323767600.0
SnehaDanceDanceee,Tiktok,1600324.0,2630900.5941296886,26309.0,0.0,17134.0,358694300.0,358694300.0
ArjunVlogs ,TikTok,3412000.0,0.2142731535756155,0.0,0.0,176702.0,283952900.0,283952900.0
ANANYAVLOGSVLOGS ,Facebook,655039.0,417902.7485386367,0.0,4179.0,82056.5,-100.0,-100.0
KaranFitnessInsta,Instagram,4251241.0,8674600.251009058,82383.0,4363.0,175539.0,-100.0,-100.0
TanyaDance.xo,YouTube,2359000.0,6723000.647392964,67230.0,0.0,283247.0,189692500.0,189692500.0
SnehaDanceDanceee,Linkedin,1391000.0,5023000.888353703,46503.0,3727.0,31277.0,223202800.0,223202800.0
SaraTravelDiariesVlogs,Instagram,5033000.0,9327500.0072124,91745.0,1530.0,82056.5,-100.0,-100.0
MeeraBeauty07,YouTube,679000.0,2.139764359351988,0.0,0.0,92803.0,-100.0,-100.0
PoojaLifestyleQueen,Youtube,1042871.0,7005201.627046874,64765.0,5287.0,153170.0,299465300.0,299465300.0
RajTravel_official,YouTube,4604553.0,57600.10624266894,0.0,576.0,82056.5,26132500.0,26132500.0
