INFLUENCER NAME,PLATFORM,FOLLOWERS,LIKES,COMMENTS,SHARES,IMPRESSIONS,CLICKS,CONVERSIONS,CAMPAIGN COST,REVENUE,CONTENT TYPE,CAMPAIGN DATE,ENGAGEMENT_RATE,ROI,CONVERSION_RATE,INFLUENCER_SCORE,INFLUENCER_TYPE
PriyaVibes,Tiktok,3330000.0,29221.0,0.0,9381.0,4512699.0,4732.0,763.0,82056.5,3493194.0,Stream Highlight,2025-03-04,2922100.281711712,349319300.0,16.124260355029584,210760420.1126847,1
SnehaDance.xo,Instagram,3881107.0,108622.0,0.0,14523.0,0.0,8211.0,0.0,29328.0,0.0,Reels+Post,2025-07-03,10862200.374197362,-100.0,0.0,4344820.149678945,0
RohanFitness,YouTube,2130000.0,68518.0,3533.0,4599.0,1042000.0,0.0,2171.0,82056.5,1260745.0,Reels+Post,2025-01-03,7205100.215915493,126074400.0,inf,78526680.08636619,1
MeeraBeautyDanceee,Facebook,2280000.0,121286.0,5255.0,6794.0,5200000.0,0.0,569.0,82056.5,1845989.0,Stream Highlight,2025-02-03,12654100.297982456,184598800.0,inf,115820920.119193,1
SnehaDance_official,YouTube,1854000.0,71653.0,4961.0,14108.0,0.0,46566.0,0.0,45712.0,1250813.0,Stream Highlight,2025-02-03,7661400.760949299,125081200.0,0.0,78113280.30437972,1
GamerVikram.xo,YouTube,1966164.0,45133.0,468.0,4374.0,1313844.0,46954.0,147.0,10248.0,680997.0,Long Video,2025-02-03,4560100.222463639,68099600.0,0.3130723687012821,42683800.08898546,1
NehaFoodie ,Instagram,1338074.0,20469.0,874.0,801.0,6200000.0,48137.0,276.0,82056.5,1344136.0,Highlight,2025-02-03,2134300.05986216,134413500.0,0.5733635249392359,81501820.02394487,1
PoojaLifestyleDanceee,YouTube,1910000.0,30553.0,4648.0,0.0,1659386.0,0.0,1999.0,47437.0,2369490.0,Highlight,2025-04-03,3520100.0,236948900.0,inf,143577380.0,1
SnehaDance,Facebook,1558000.0,38038.0,981.0,2905.0,5000000.0,20161.0,0.0,90352.0,0.0,Carousell,2025-04-03,3901900.186456996,-100.0,0.0,1560700.0745827984,0
ANANYAVLOGSINSTA ,Instagram,3901537.0,117953.0,2961.0,7748.0,6800000.0,59097.0,1479.0,82056.5,4033767.0,carousel ,2025-01-08,12091400.198588405,403376600.0,2.502665109904056,246862520.07943532,1
RajTravelDanceee,Instagram,0.0,47936.0,0.0,14028.0,7900000.0,53337.0,2770.0,285159.0,0.0,carousel ,2025-01-08,inf,-100.0,5.193392954234397,inf,0
VikramTech_official,Facebook,3800581.0,101545.0,3903.0,6659.0,5500000.0,0.0,2530.0,174884.0,3837584.0,0,2025-01-08,10544800.175210051,383758300.0,inf,234472900.07008404,1
RahulGamerQueen,YouTube,3832134.0,98654.0,753.0,0.0,8113794.0,13346.0,1600.0,82056.5,750708.0,Story,2025-01-03,9940700.0,75070700.0,11.988610819721265,49018700.0,1
KabirTechVlogs,YouTube,4497498.0,101074.0,2333.0,652.0,7951000.0,17831.0,918.0,82056.5,1941369.0,reel,2025-01-03,10340700.01449695,194136800.0,5.148337165610454,120618360.0057988,1
NEHAFOODIEVLOGS ,Instagram,4915000.0,45450.0,432.0,10942.0,0.0,0.0,2211.0,325874.0,0.0,Story+Reel,2025-01-03,4588200.222624619,-100.0,inf,1835220.089049848,0
SnehaDanceFitness,Facebook,1165070.0,35855.0,4393.0,5932.0,0.0,30993.0,2598.0,272965.0,2438375.0,shorts,2025-01-03,4024800.509153956,243837400.0,8.382537992449908,147912360.2036616,1
KaranFitnessDanceee,Linkedin,715526.0,107707.0,0.0,13515.0,6800000.0,59643.0,1431.0,79438.0,0.0,Post,2025-01-03,10770701.888820251,-100.0,2.399275690357628,4308220.755528102,0
GamerVikram,YouTube,2767000.0,54724.0,6222.0,6595.0,6400000.0,59725.0,1024.0,82056.5,0.0,Highlight,2025-01-03,6094600.238344777,-100.0,1.714524905818334,2437780.095337911,0
SaraTravelDiariesInsta,Facebook,0.0,0.0,6160.0,8584.0,1406268.0,12260.0,0.0,290836.0,0.0,Highlight,2025-01-03,inf,-100.0,0.0,inf,0
NEHAFOODIEDANCEEE ,YouTube,2410000.0,48719.0,1547.0,4939.0,0.0,12068.0,0.0,82056.5,2683891.0,Stories,2025-01-03,5026600.20493776,268389000.0,0.0,163044040.0819751,1
NehaFoodieQueen,Instagram,600000.0,10990.0,0.0,12432.0,7643000.0,16985.0,1016.0,163308.0,0.0,Reel+Post,2025-01-03,1099002.0720000002,-100.0,5.981748601707388,439540.8288000001,0
FitAnkitVlogs,Linkedin,2891686.0,30908.0,3504.0,0.0,0.0,52729.0,0.0,82056.5,2511070.0,Long Video,2025-01-03,3441200.0,251106900.0,0.0,152040620.0,1
NehaFoodie ,YouTube,1487480.0,12657.0,2416.0,1967.0,7300000.0,3893.0,2310.0,155787.0,0.0,0,2025-06-03,1507300.132237072,-100.0,59.337272026714615,602860.0528948288,0
MeeraBeauty_official,Tiktok,0.0,15142.0,0.0,4531.0,8500000.0,30562.0,0.0,321436.0,477471.0,Stream Highlight,2025-06-03,inf,47747000.0,0.0,inf,1
RiyaMakeupVlogs,YouTube,694527.0,0.0,0.0,4671.0,5900000.0,17017.0,1911.0,127048.0,3014989.0,Reel ,2025-09-03,0.672544047963578,301498800.0,11.229946524064172,180899280.2690176,1
TechBitArvindDanceee,YouTube,1137530.0,115834.0,5477.0,16489.0,2425000.0,47917.0,1918.0,118581.0,2229274.0,Long Video,2025-09-03,12131101.449544188,222927300.0,4.002754763445124,138608820.57981768,1
KABIRTECH_OFFICIAL ,Instagram,1638000.0,93274.0,248.0,10484.0,5071000.0,54792.0,654.0,307800.0,1308116.0,0,2025-03-12,9352200.64004884,130811500.0,1.193604905825668,82227780.25601953,1
SNEHADANCEFITNESS ,YouTube,0.0,119589.0,2933.0,15117.0,7440000.0,28341.0,538.0,112744.0,4278074.0,Reel+Post,2025-01-04,inf,427807300.0,1.898309869094245,inf,1
ArjunVlogs.xo,Facebook,4029000.0,37586.0,5741.0,0.0,3427096.0,0.0,634.0,15469.0,0.0,Reel ,2025-08-03,4332700.0,-100.0,inf,1733020.0,0
KaranFitness_official,Tiktok,372761.0,35171.0,1562.0,1756.0,1397000.0,23973.0,0.0,308215.0,420041.0,Highlight,2025-08-03,3673300.471079324,42004000.0,0.0,26671720.18843173,1
MeeraBeautyInsta,TikTok,432000.0,32736.0,5168.0,15259.0,2000000.0,4222.0,1537.0,57348.0,4439686.0,Short,2025-02-03,3790403.5321759256,443968500.0,36.404547607768826,267897261.4128704,1
RituFood07,TikTok,2207000.0,63419.0,918.0,15371.0,0.0,49985.0,673.0,223254.0,0.0,Short,2025-01-06,6433700.69646579,-100.0,1.346403921176353,2573420.2785863164,0
PriyaVibesFitness,Tiktok,0.0,82762.0,0.0,17300.0,7415954.0,4845.0,1323.0,16817.0,0.0,Stories,2025-01-06,inf,-100.0,27.30650154798761,inf,0
TanyaDance_official,Facebook,0.0,0.0,842.0,10392.0,0.0,57955.0,2129.0,82056.5,2833044.0,Carousell,2025-01-06,inf,283304300.0,3.6735398153739967,inf,1
ANANYAVLOGSFITNESS ,Instagram,0.0,0.0,5870.0,321.0,0.0,16990.0,0.0,327081.0,0.0,Reels+Post,2025-01-06,inf,-100.0,0.0,inf,0
POOJALIFESTYLEFITNESS ,YouTube,2840000.0,38872.0,0.0,16788.0,6698814.0,52654.0,2140.0,261117.0,2236586.0,Short,2025-01-06,3887200.591126761,223658500.0,4.064268621567212,135749980.2364507,1
VikramTechInsta,Facebook,2990000.0,3165.0,5483.0,2152.0,3000000.0,0.0,549.0,185237.0,4026614.0,carousel ,2025-01-06,864800.0719732441,402661300.0,inf,241942700.0287893,1
RiyaMakeupDanceee,YouTube,0.0,44367.0,5547.0,12957.0,0.0,29191.0,1914.0,50302.0,0.0,Reel ,2025-05-03,inf,-100.0,6.556815456818882,inf,0
GamerVikramVlogs,Facebook,3840000.0,108904.0,5319.0,13146.0,2389000.0,0.0,2002.0,82056.5,0.0,Short,2025-05-03,11422300.342343751,-100.0,inf,4568860.136937501,0
KabirTech,Facebook,3540000.0,2729.0,2136.0,14503.0,1303663.0,0.0,1494.0,117222.0,4192083.0,Highlight,2025-05-03,486500.4096892656,419208200.0,inf,251719520.1638757,1
TanyaDanceInsta,Instagram,5080000.0,49157.0,1474.0,10448.0,3026654.0,52240.0,1294.0,82056.5,635074.0,Reel ,2025-05-03,5063100.205669291,63507300.0,2.477029096477795,40129620.08226772,1
TechBitArvind.xo,Facebook,0.0,57664.0,0.0,11801.0,8328000.0,59084.0,920.0,110087.0,0.0,Story+Reel,2025-07-03,inf,-100.0,1.5571051384469567,inf,0
TechBitArvindDanceee,Instagram,0.0,31850.0,3499.0,446.0,4229000.0,33290.0,2222.0,130307.0,0.0,Short,2025-07-03,inf,-100.0,6.674677080204265,inf,0
AmitCricket_official,Facebook,4748981.0,91493.0,4053.0,9857.0,4460707.0,54440.0,1915.0,82056.5,674343.0,Reels+Post ,2025-07-03,9554600.207560316,67434200.0,3.5176340925789864,44282360.08302413,1
FitAnkit,Youtube,0.0,20440.0,3676.0,16888.0,3400000.0,58775.0,372.0,82056.5,0.0,Stories,2025-07-03,inf,-100.0,0.6329221607826457,inf,0
MansiBeautyQueen,Facebook,3322000.0,45202.0,6004.0,9811.0,3274415.0,7703.0,0.0,177752.0,3237677.0,Long Video,2025-03-03,5120600.295334136,323767600.0,0.0,196308800.1181337,1
SnehaDanceDanceee,Tiktok,1600324.0,26309.0,0.0,9508.0,0.0,13170.0,529.0,17134.0,3586944.0,shorts,2025-03-03,2630900.5941296886,358694300.0,4.016704631738801,216268940.23765188,1
ArjunVlogs ,TikTok,3412000.0,0.0,0.0,7311.0,0.0,2378.0,0.0,176702.0,2839530.0,Stories,2025-03-04,0.2142731535756155,283952900.0,0.0,170371740.08570927,1
ANANYAVLOGSVLOGS ,Facebook,655039.0,0.0,4179.0,18004.0,4171452.0,31596.0,1161.0,82056.5,0.0,Stories,2025-03-04,417902.7485386367,-100.0,3.674515761488796,167101.09941545466,0
KaranFitnessInsta,Instagram,4251241.0,82383.0,4363.0,10671.0,7000000.0,36793.0,854.0,175539.0,0.0,story+reel,2025-03-04,8674600.251009058,-100.0,2.321093686299024,3469780.100403624,0
TanyaDance.xo,YouTube,2359000.0,67230.0,0.0,15272.0,3700000.0,28331.0,529.0,283247.0,1896926.0,Reel ,2025-04-03,6723000.647392964,189692500.0,1.867212593978328,116504700.2589572,1
SnehaDanceDanceee,Linkedin,1391000.0,46503.0,3727.0,12357.0,7880000.0,25833.0,1384.0,31277.0,2232029.0,Highlight,2025-06-03,5023000.888353703,223202800.0,5.357488483722371,135930880.3553415,1
SaraTravelDiariesVlogs,Instagram,5033000.0,91745.0,1530.0,363.0,2131721.0,52142.0,2657.0,82056.5,0.0,Reels+Post ,2025-02-03,9327500.0072124,-100.0,5.095700203291012,3730940.00288496,0
MeeraBeauty07,YouTube,679000.0,0.0,0.0,14529.0,1989000.0,50068.0,0.0,92803.0,0.0,Short,2025-02-03,2.139764359351988,-100.0,0.0,-59.1440942562592,0
PoojaLifestyleQueen,Youtube,1042871.0,64765.0,5287.0,16968.0,700000.0,21183.0,1941.0,153170.0,2994654.0,Story+Reel,2025-03-02,7005201.627046874,299465300.0,9.163008072510976,182481260.65081877,1
RajTravel_official,YouTube,4604553.0,0.0,576.0,4892.0,6159000.0,15278.0,1282.0,82056.5,261326.0,Live Stream,2025-12-03,57600.10624266894,26132500.0,8.391150674172012,15702540.042497069,1
SARATRAVELDIARIES.XO ,Facebook,1290000.0,104602.0,0.0,13584.0,0.0,18271.0,2123.0,45302.0,1856682.0,reel,2025-12-03,10460201.053023254,185668100.0,11.619506321493075,115584940.4212093,1
ShaliniFashion ,YouTube,0.0,37720.0,4743.0,3180.0,0.0,56862.0,1349.0,61779.0,4323792.0,story+reel,2025-03-03,inf,432379100.0,2.372410397101755,inf,1
MeeraBeauty.xo,Instagram,2325000.0,28190.0,3960.0,2284.0,0.0,3834.0,582.0,314801.0,0.0,Post,2025-03-03,3215000.0982365594,-100.0,15.17996870109546,1285940.0392946238,0
RohanFitness.xo,Instagram,1900000.0,9957.0,0.0,14065.0,4518000.0,21362.0,2721.0,82056.5,3027665.0,Short,2025-03-03,995700.740263158,302766400.0,12.737571388446774,182058120.29610527,1
MansiBeautyVlogs,Facebook,4151371.0,73272.0,0.0,0.0,4941785.0,0.0,1199.0,282633.0,0.0,Reel+Post,2025-05-03,7327200.0,-100.0,inf,2930820.0,0
SaraTravelDiariesFitness,Facebook,3056163.0,55332.0,4258.0,7587.0,4743000.0,6560.0,822.0,82056.5,0.0,Video,2025-05-03,5959000.248252465,-100.0,12.53048780487805,2383540.099300986,0
FitAnkit ,Facebook,2115440.0,18339.0,373.0,0.0,3083000.0,41656.0,835.0,82056.5,0.0,Reel  ,2025-05-03,1871200.0,-100.0,2.004513155367774,748420.0,0
PriyaVibes,Instagram,1056406.0,49320.0,3044.0,6304.0,5063092.0,4596.0,1494.0,82056.5,0.0,Carousel,2025-01-03,5236400.596740268,-100.0,32.5065274151436,2094500.2386961076,0
RAJTRAVEL_OFFICIAL ,Instagram,240000.0,0.0,2784.0,15662.0,0.0,23803.0,1990.0,82056.5,3259831.0,Post,2025-01-03,278406.5258333334,325983000.0,8.360290719657186,195701162.6103333,1
PriyaVibes07,TikTok,3436683.0,55085.0,2267.0,5939.0,5469000.0,33105.0,2279.0,149890.0,0.0,Post,2025-01-03,5735200.172811981,-100.0,6.88415647183205,2294020.0691247927,0
MansiBeauty07,Instagram,660000.0,44647.0,5762.0,13101.0,3301000.0,27174.0,143.0,82056.5,0.0,0,2025-01-03,5040901.984999999,-100.0,0.5262383160373887,2016300.794,0
RahulGamerQueen,Instagram,0.0,0.0,906.0,8810.0,0.0,5901.0,1993.0,100366.0,417172.0,shorts,2025-01-03,inf,41717100.0,33.77393662091171,inf,1
TechBitArvindInsta,Tiktok,2381371.0,96482.0,2032.0,15561.0,5000000.0,31127.0,233.0,276042.0,3460452.0,Reels+Post ,2025-09-03,9851400.65344711,346045100.0,0.7485462781508015,211567620.26137885,1
AnanyaVlogs.xo,Tiktok,218308.0,93627.0,706.0,0.0,6200000.0,35859.0,1712.0,331091.0,0.0,Post,2025-09-03,9433300.0,-100.0,4.774254719875066,3773260.0,0
GamerVikramFitness,Instagram,3447000.0,19378.0,0.0,13847.0,7200000.0,22915.0,0.0,212993.0,798833.0,Reel+Post ,2025-09-03,1937800.4017116332,79883200.0,0.0,48705040.16068465,1
MeeraBeautyFitness,YouTube,1410000.0,105400.0,1123.0,7495.0,3200000.0,58130.0,2805.0,179618.0,0.0,story+reel,2025-09-03,10652300.531560283,-100.0,4.825391364183726,4260860.212624113,0
SaraTravelDiaries.xo,YouTube,1869395.0,72351.0,0.0,16716.0,7117000.0,25946.0,849.0,55280.0,3292070.0,Stream Highlight,2025-05-03,7235100.894193041,329206900.0,3.2721806829569107,200418180.3576772,1
AmitCricket_official,Tiktok,2353313.0,11678.0,5727.0,2994.0,0.0,17701.0,0.0,206793.0,1503460.0,story+reel,2025-12-03,1740500.1272248952,150345900.0,0.0,90903740.05088995,1
TechBitArvindQueen,Instagram,3973189.0,79372.0,4260.0,7808.0,2975832.0,24959.0,668.0,76654.0,2282655.0,Stream Highlight,2025-07-03,8363200.196517205,228265400.0,2.676389278416603,140304520.07860687,1
SnehaDance_official,Facebook,0.0,85513.0,1713.0,17438.0,6800000.0,34757.0,2193.0,300779.0,0.0,Reels+Post,2025-03-07,inf,-100.0,6.309520384383002,inf,0
AnanyaVlogs ,Instagram,3880000.0,61051.0,4787.0,15740.0,5363000.0,8206.0,63.0,41905.0,845565.0,Short,2025-09-03,6583800.405670103,84556400.0,0.7677309285888374,53367360.16226804,1
NehaFoodieQueen,Tiktok,3977364.0,14305.0,274.0,11113.0,4290000.0,0.0,2006.0,56732.0,3202610.0,Reel  ,2025-07-03,1457900.2794061594,320260900.0,inf,192739700.1117625,1
RajTravelFitness,Youtube,2740000.0,77137.0,1165.0,759.0,6419000.0,47376.0,1599.0,14503.0,4016604.0,reel,2025-11-03,7830200.027700731,401660300.0,3.375126646403242,244128260.0110803,1
AmitCricket.xo,Tiktok,0.0,116155.0,1701.0,13303.0,2370000.0,61789.0,2748.0,138380.0,3905451.0,Highlight,2025-11-03,inf,390545000.0,4.4473935490135785,inf,1
MEERABEAUTY  ,TikTok,3903816.0,43659.0,304.0,18450.0,2016000.0,17857.0,1058.0,146245.0,1572140.0,Reels+Post,2025-04-03,4396300.472614488,157213900.0,5.92484739877919,96086860.1890458,1
SnehaDance,Instagram,4409551.0,104664.0,2577.0,0.0,6066602.0,0.0,292.0,26985.0,0.0,Stories,2025-11-03,10724100.0,-100.0,inf,4289580.0,0
ShaliniFashion ,Facebook,991000.0,93043.0,1082.0,15577.0,2800000.0,36532.0,1311.0,82056.5,3465993.0,Post,2025-11-03,9412501.57184662,346599200.0,3.5886346217015217,211724520.62873864,1
SnehaDance07,Instagram,4390000.0,0.0,0.0,10698.0,6729238.0,41939.0,1436.0,328644.0,3430446.0,story+reel,2025-11-03,0.2436902050113895,343044500.0,3.424020601349579,205826700.0974761,1
SaraTravelDiaries.xo,Facebook,972981.0,0.0,2225.0,0.0,1112000.0,2708.0,0.0,93626.0,0.0,shorts,2025-11-03,222500.0,-100.0,0.0,88940.0,0
SnehaDance,Instagram,1440000.0,49715.0,155.0,4997.0,1000000.0,33734.0,712.0,216459.0,4294131.0,Video,2025-11-03,4987000.347013889,429413000.0,2.1106302246991167,259642600.1388056,1
AnanyaVlogs.xo,Facebook,1574907.0,31228.0,3242.0,11229.0,3033170.0,24999.0,0.0,82056.5,0.0,Stories,2025-11-03,3447000.712994482,-100.0,0.0,1378740.2851977928,0
