influencer name,platform,followers,likes,comments,shares,impressions,clicks,conversions,campaign cost,revenue,content type,campaign date
PriyaVibes,Tiktok,3330000.0,29221.0,0.0,9381.0,4512699.0,4732.0,763.0,82056.5,3493194.0,Stream Highlight,2025-03-04
KaranFitness07,Tiktok,2660000.0,91065.0,4824.0,1088.0,4298397.0,45440.0,180.0,0.0,0.0,carousel ,2025-03-04
ShaliniFashionDanceee,YouTube,5147767.0,114078.0,0.0,2202.0,4137643.0,3613.0,465.0,0.0,566545.0,Reel ,2025-07-03
ROHANFITNESSINSTA ,Instagram,0.0,112787.0,3217.0,10901.0,1582192.0,4461.0,0.0,0.0,0.0,shorts,2025-07-03
SnehaDance.xo,Instagram,3881107.0,108622.0,0.0,14523.0,0.0,8211.0,0.0,29328.0,0.0,Reels+Post,2025-07-03
FitAnkit.xo,Instagram,4463000.0,61436.0,5234.0,11163.0,3113000.0,14075.0,1105.0,0.0,0.0,Story+Reel,2025-01-03
RohanFitness,YouTube,2130000.0,68518.0,3533.0,4599.0,1042000.0,0.0,2171.0,82056.5,1260745.0,Reels+Post,2025-01-03
RiyaMakeup,YouTube,1670000.0,78899.0,5002.0,0.0,7950000.0,0.0,2545.0,0.0,0.0,Video,2025-03-03
AnanyaVlogs ,YouTube,4280000.0,1505.0,4669.0,6742.0,0.0,10842.0,1070.0,0.0,754611.0,shorts,2025-03-03
MeeraBeautyDanceee,Facebook,2280000.0,121286.0,5255.0,6794.0,5200000.0,0.0,569.0,82056.5,1845989.0,Stream Highlight,2025-02-03
SnehaDance_official,YouTube,1854000.0,71653.0,4961.0,14108.0,0.0,46566.0,0.0,45712.0,1250813.0,Stream Highlight,2025-02-03
GamerVikram.xo,YouTube,1966164.0,45133.0,468.0,4374.0,1313844.0,46954.0,147.0,10248.0,680997.0,Long Video,2025-02-03
NehaFoodie.xo,YouTube,0.0,0.0,1884.0,0.0,1987000.0,43587.0,0.0,82056.5,2505642.0,shorts,2025-10-03
NehaFoodie ,Instagram,1338074.0,20469.0,874.0,801.0,6200000.0,48137.0,276.0,82056.5,1344136.0,Highlight,2025-02-03
PoojaLifestyleDanceee,YouTube,1910000.0,30553.0,4648.0,0.0,1659386.0,0.0,1999.0,47437.0,2369490.0,Highlight,2025-04-03
